"id","sire","dam","sex","gen","birth","exit","age","fromCenter"
"WDBGPF",NA,NA,"M",0,"1978-05-04",NA,41.3,TRUE
"C3V2V6",NA,NA,"F",0,"1979-08-01",NA,40.1,TRUE
"C6E1D9",NA,NA,"M",0,NA,NA,NA,TRUE
"ESZ6I3",NA,NA,"F",0,"1979-09-30",NA,39.9,TRUE
"31UG06",NA,NA,"F",0,NA,NA,NA,TRUE
"RJHF0G",NA,NA,"M",0,NA,NA,NA,TRUE
"8ZK9LV",NA,NA,"F",0,NA,NA,NA,TRUE
"X20HK8",NA,NA,"F",0,"1978-04-06",NA,41.4,TRUE
"3XP1ZD",NA,NA,"M",0,NA,NA,NA,TRUE
"61ZSF7",NA,NA,"F",0,NA,NA,NA,TRUE
"28XSME",NA,NA,"M",0,NA,NA,NA,TRUE
"7NBKWE",NA,NA,"M",0,NA,NA,NA,TRUE
"XEE9GT",NA,NA,"M",0,NA,NA,NA,TRUE
"RD3WB2",NA,NA,"M",0,NA,NA,NA,TRUE
"L31S6S",NA,NA,"M",0,NA,NA,NA,TRUE
"7U5H8G",NA,NA,"F",0,NA,NA,NA,TRUE
"HCY8QM",NA,NA,"F",0,NA,NA,NA,TRUE
"LWV138",NA,NA,"F",0,NA,NA,NA,TRUE
"R3BBV1",NA,NA,"F",0,NA,NA,NA,TRUE
"U5VLXP",NA,NA,"M",0,NA,NA,NA,TRUE
"UXVHSF",NA,NA,"M",0,NA,NA,NA,TRUE
"UKJFYA",NA,NA,"M",0,NA,NA,NA,TRUE
"UWJKEQ",NA,NA,"M",0,NA,NA,NA,TRUE
"UYZ1DD",NA,NA,"M",0,NA,NA,NA,TRUE
"UCXEK5",NA,NA,"M",0,NA,NA,NA,TRUE
"UUNQ4J",NA,NA,"M",0,NA,NA,NA,TRUE
"ULQFEZ",NA,NA,"M",0,NA,NA,NA,TRUE
"UTU9S7",NA,NA,"M",0,NA,NA,NA,TRUE
"UZCIN5",NA,NA,"M",0,NA,NA,NA,TRUE
"UZJGCD",NA,NA,"F",0,NA,NA,NA,TRUE
"EBG407","U5VLXP","PH0IXL","M",1,"1998-01-24",NA,21.6,TRUE
"EE4BJC","UXVHSF","8WG9U2","M",1,"1998-01-08",NA,21.6,TRUE
"L5KNS5","UKJFYA","PLT00S","M",1,"1998-01-03",NA,21.6,TRUE
"AU22BC","UWJKEQ","GQUCRY","F",1,"1985-10-08",NA,33.9,TRUE
"G2DMVF","83U0EX","6VUC6R","F",1,"1988-08-28",NA,31,TRUE
"HR70BU","WS6D1B","N2C1PW","F",1,"1991-09-03",NA,28,TRUE
"BNHC69","FEEN9W","ZZ646X","M",1,"2011-06-08",NA,8.2,TRUE
"KS2ZNP","BZ8K78","C1BAND","F",1,"1999-06-04",NA,20.2,TRUE
"7JQ09V","WDBGPF","IP1TGT","F",1,"1985-04-24",NA,34.3,TRUE
"6MGJYG","L31S6S","KWKJXQ","M",1,"1987-03-28",NA,32.4,TRUE
"8PHUQL","UYZ1DD","IP1TGT","F",1,"1983-04-11",NA,36.4,TRUE
"8LWCAD","5A6DFT","HCY8QM","M",1,"1979-03-31",NA,40.4,TRUE
"XH80WV","QWUKUY","C2YD43","F",1,"1990-04-25",NA,29.3,TRUE
"SLN0TF","UCXEK5","C3IFT0","M",1,"1985-04-16",NA,34.4,TRUE
"Q7F87W","1X40V5","CBLNYE","M",1,"1986-04-04",NA,33.4,TRUE
"BYWXJB","WDBGPF","IX0KKP","F",1,"1984-05-19",NA,35.3,TRUE
"SH0L6S","L31S6S","GYQNV5","F",1,"1987-06-02",NA,32.2,TRUE
"1SIP4V","7NBKWE","RXPJPP","F",1,"1990-05-25",NA,29.3,TRUE
"EQNDAY","3XP1ZD","9A1LWF","F",1,"1992-04-18",NA,27.4,TRUE
"IQLWH8","QWUKUY","E2D59U","M",1,"1991-04-26",NA,28.3,TRUE
"JR9GXD","1X40V5","CBLNYE","F",1,"1984-06-19",NA,35.2,TRUE
"0GDSV0","UUNQ4J","ZLS786","F",1,"1979-05-11",NA,40.3,TRUE
"M0YNUR","PQX22G","8ZK9LV","M",1,"1977-04-14",NA,42.4,TRUE
"37FSQA","ULQFEZ","TUILLQ","F",1,"1983-05-24",NA,36.3,TRUE
"R4V1JU","7NBKWE","LVP52A","F",1,"1982-07-07",NA,37.1,TRUE
"N2JRUE","7NBKWE","R3BBV1","F",1,"1983-07-06",NA,36.1,TRUE
"5JGJDV","28XSME","LWV138","F",1,"1978-05-03",NA,41.3,TRUE
"RYP77M","L31S6S","A3A34I","M",1,"1983-06-09",NA,36.2,TRUE
"P2VQJR","BM40IX","MTSHHY","F",1,"1973-03-29",NA,46.4,TRUE
"3CLMPL","C6E1D9","8DKELJ","F",1,"1983-06-22",NA,36.2,TRUE
"8LKBV9","5A6DFT","8DKELJ","M",1,"1981-08-17",NA,38,TRUE
"GTKL5Z","5GQC24","BJ4J7G","F",1,"1980-05-22",NA,39.3,TRUE
"SNHNX6","NPYENA","L2I39Y","F",1,"1983-08-03",NA,36.1,TRUE
"IM1B5T","KXU1ZH","FG9RYY","F",1,"1985-09-15",NA,33.9,TRUE
"D0Z114","PQX22G","DPUHBA","M",1,"1977-06-30",NA,42.2,TRUE
"1W4GNT","PQX22G","B948B1","M",1,"1977-06-26",NA,42.2,TRUE
"5LDNWE","WDBGPF","RKBTHH","F",1,"1992-05-18",NA,27.3,TRUE
"L81S8M","BZ8K78","IYYFP6","F",1,"2000-06-19",NA,19.2,TRUE
"D1WP48","5A6DFT","I8ABQE","M",1,"1978-07-06",NA,41.1,TRUE
"D472PY","5GQC24","BJ4J7G","F",1,"1979-08-01",NA,40.1,TRUE
"BH6ZQK","MY1AEU","HDJ52R","F",1,"1992-07-24",NA,27.1,TRUE
"R0VAQP","QWUKUY","G8EBU9","F",1,"1992-07-14",NA,27.1,TRUE
"DU300Q","1X40V5","C3V2V6","F",1,"1985-12-04",NA,33.7,TRUE
"P4KR40","MY1AEU","LVS6QV","F",1,"1991-07-14",NA,28.1,TRUE
"MK90CB","UTU9S7","EZ97J5","F",1,"1979-01-29",NA,40.6,TRUE
"0Q077X","RJHF0G","Y7IUMX","F",1,"1980-08-07",NA,39,TRUE
"0ZISJ0","CMJQGU","YCVRXE","F",1,"1992-07-25",NA,27.1,TRUE
"KNIBZ7","TTE0Z7","97Y192","F",1,"1972-06-05",NA,47.2,TRUE
"FE03JV","L31S6S","P87V3K","F",1,"1991-08-04",NA,28.1,TRUE
"CAN12C","6S4HCB","7U5H8G","M",1,"1975-08-04",NA,44.1,TRUE
"79QBRD","6S4HCB","I8ABQE","F",1,"1974-08-15",NA,45,TRUE
"X6TGUV","MY1AEU","ZK6NM2","F",1,"1985-02-01",NA,34.6,TRUE
"0L5AWR","MY1AEU","ESZ6I3","F",1,"1991-10-17",NA,27.9,TRUE
"G3XCSE","RD3WB2","4EEKV7","F",1,"1970-07-03",NA,49.1,TRUE
"3GW5WC","D8FYZV","AE08C8","F",1,"1976-04-01",NA,43.4,TRUE
"6XYG9B","28XSME","WUPTU8","F",1,"1970-07-15",NA,49.1,TRUE
"VRSDUM","RD3WB2","1ZERVB","F",1,"1970-07-19",NA,49.1,TRUE
"8UE4L3","YAV1NW","Q8MRCZ","F",1,"1971-11-10",NA,47.8,TRUE
"L8CMNE","5A6DFT","0FKJ81","F",1,"1973-12-06",NA,45.7,TRUE
"KUENM8","UZCIN5","BD7MNF","M",1,"1981-03-01",NA,38.5,TRUE
"QP1WMJ","FD3BB6","AU22BC","M",2,"1990-05-17",NA,29.3,TRUE
"QZVTGJ","1BYXWJ","HR70BU","M",2,"1997-07-15",NA,22.1,TRUE
"E80KU8","EE4BJC","BRI2MW","F",2,"2006-09-21",NA,12.9,TRUE
"I67LRJ","EBG407","677E7M","M",2,"2011-03-23",NA,8.4,TRUE
"ASAF1T","HKTQ40","P4KR40","F",2,"2003-03-06",NA,16.5,TRUE
"WCPXHD","D8FYZV","VRSDUM","M",2,"1978-03-16",NA,41.4,TRUE
"FJIB3R","8LKBV9","G8EBU9","F",2,"1987-03-10",NA,32.5,TRUE
"DKMJ2Z","M0YNUR","5JGJDV","M",2,"1982-04-12",NA,37.4,TRUE
"1Y8P15","RYP77M","SNHNX6","M",2,"1987-03-26",NA,32.4,TRUE
"9VGCCV","8LKBV9","8P17E3","F",2,"1986-04-22",NA,33.3,TRUE
"4F3ASD","D8FYZV","8UE4L3","M",2,"1976-05-02",NA,43.3,TRUE
"79RXRZ","D1WP48","0GDSV0","F",2,"1983-04-13",NA,36.4,TRUE
"GBGWZD","RYP77M","WDUGSA","F",2,"1993-05-06",NA,26.3,TRUE
"4CHDK1","KUENM8","E2D59U","F",2,"1986-03-26",NA,33.4,TRUE
"42M0Y8","D8FYZV","8UE4L3","F",2,"1978-04-29",NA,41.3,TRUE
"772Q3D","1X40V5","0Q077X","F",2,"1987-05-11",NA,32.3,TRUE
"DKDP5B","8LWCAD","HJ555Y","M",2,"1984-06-09",NA,35.2,TRUE
"XL7AVE","C6E1D9","6XYG9B","M",2,"1979-05-09",NA,40.3,TRUE
"B6IDBA","RYP77M","S0022Z","F",2,"1993-04-19",NA,26.4,TRUE
"YPHFHF","D1WP48","JB7EW2","M",2,"1992-05-26",NA,27.2,TRUE
"DMI0QY","RYP77M","JR9GXD","F",2,"1991-04-28",NA,28.3,TRUE
"A3UZAN","BCH8AH","L8CMNE","M",2,"1981-06-26",NA,38.2,TRUE
"8FLD1J","D8FYZV","P2VQJR","F",2,"1977-05-10",NA,42.3,TRUE
"WFGRY3","CMJQGU","X6TGUV","F",2,"1992-05-26",NA,27.2,TRUE
"CKFA4F","CAN12C","DLZL49","F",2,"1986-07-08",NA,33.1,TRUE
"YHJ240","XEE9GT","79QBRD","F",2,"1979-05-30",NA,40.2,TRUE
"7U5NJD","SLN0TF","XH80WV","M",2,"1996-05-30",NA,23.2,TRUE
"I2G9D6","KUENM8","CEA455","F",2,"1992-05-25",NA,27.3,TRUE
"DGLT2F","D8FYZV","KNIBZ7","F",2,"1979-06-01",NA,40.2,TRUE
"9YJWKX","1W4GNT","4WWCPB","F",2,"1987-06-06",NA,32.2,TRUE
"D0CW4E","RYP77M","N2JRUE","F",2,"1989-06-23",NA,30.2,TRUE
"9CZSZM","8933XB","FE03JV","F",2,"1998-06-10",NA,21.2,TRUE
"Q00PB1","SLN0TF","1SIP4V","F",2,"1998-06-24",NA,21.2,TRUE
"6PX6PS","7NBKWE","IM1B5T","F",2,"1991-06-06",NA,28.2,TRUE
"ELGVC6","KUENM8","IM1B5T","M",2,"1992-05-09",NA,27.3,TRUE
"L07M06","L31S6S","7JQ09V","M",2,"1991-05-24",NA,28.3,TRUE
"4U7JTW","MY1AEU","3CLMPL","M",2,"1992-06-05",NA,27.2,TRUE
"270UK6","RYP77M","37FSQA","M",2,"1991-06-20",NA,28.2,TRUE
"J33BE0","QWUKUY","3GW5WC","F",2,"1989-09-26",NA,29.9,TRUE
"3PD3U5","KUENM8","P87V3K","F",2,"1990-08-14",NA,29,TRUE
"WIBIVP","KK1QYR","R4V1JU","F",2,"1993-07-13",NA,26.1,TRUE
"LUPGF8","CMJQGU","X6TGUV","M",2,"1990-10-17",NA,28.9,TRUE
"MNJU8T","D1WP48","D472PY","F",2,"1991-07-11",NA,28.1,TRUE
"0B7XRI","L31S6S","0Q077X","F",2,"1990-11-03",NA,28.8,TRUE
"J8XZ81","KUENM8","BYWXJB","F",2,"1991-07-12",NA,28.1,TRUE
"DWFFZL","PQX22G","G3XCSE","F",2,"1978-09-23",NA,40.9,TRUE
"0PADJQ","QP1WMJ","G2DMVF","F",3,"2003-06-07",NA,16.2,TRUE
"36W7XS","QZVTGJ","E80KU8","M",3,"2011-07-13",NA,8.1,TRUE
"5LXR2A","7U5NJD","D0CW4E","F",3,"2001-09-13",NA,17.9,TRUE
"HWQS19","4U7JTW","GBGWZD","F",3,"2002-06-19",NA,17.2,TRUE
"PWY8IQ","Y1XZEW","YHJ240","F",3,"1987-03-25",NA,32.4,TRUE
"YJXSIZ","YPHFHF","I2G9D6","F",3,"1998-02-26",NA,21.5,TRUE
"H16XSK","YPHFHF","5LDNWE","F",3,"1996-03-24",NA,23.4,TRUE
"BT0V1U","DKDP5B","BYWXJB","F",3,"1988-03-24",NA,31.4,TRUE
"HPGUPS","WCPXHD","9R28KQ","F",3,"1983-04-29",NA,36.3,TRUE
"S0ZHJP","WCPXHD","31UG06","M",3,"1983-04-30",NA,36.3,TRUE
"WWZRCW","NPYENA","42M0Y8","M",3,"1984-03-29",NA,35.4,TRUE
"CSZ177","WCPXHD","7KWRZK","F",3,"1987-05-01",NA,32.3,TRUE
"LLYLLX","9C6NW8","J8XZ81","F",3,"2000-05-24",NA,19.3,TRUE
"EKP7IN","9C6NW8","MNJU8T","F",3,"2001-05-27",NA,18.2,TRUE
"2FPL16","LUPGF8","0L5AWR","F",3,"1996-06-01",NA,23.2,TRUE
"3SG899","9C6NW8","J8XZ81","F",3,"1996-05-15",NA,23.3,TRUE
"H16EC4","XL7AVE","DGLT2F","M",3,"1984-05-12",NA,35.3,TRUE
"F2H56G","9C6NW8","J8XZ81","F",3,"1997-05-18",NA,22.3,TRUE
"JE4WD7","Q7F87W","9VGCCV","F",3,"1990-05-09",NA,29.3,TRUE
"73Z6NI","CAN12C","8FLD1J","F",3,"1990-05-05",NA,29.3,TRUE
"Q82XRQ","4U7JTW","0ZISJ0","M",3,"2006-06-03",NA,13.2,TRUE
"81MJXH","YPHFHF","WFGRY3","M",3,"1996-06-16",NA,23.2,TRUE
"K9TMQP","KCBMY9","DMI0QY","M",3,"1996-06-28",NA,23.2,TRUE
"PUEUBL","LUPGF8","0B7XRI","M",3,"1998-05-27",NA,21.2,TRUE
"GA204Z","8LKBV9","FJIB3R","M",3,"1991-05-16",NA,28.3,TRUE
"V1X2X3","QL6GH4","3PD3U5","M",3,"1996-07-09",NA,23.1,TRUE
"P49ZD1","4F3ASD","61ZSF7","M",3,"1981-09-16",NA,37.9,TRUE
"KY4G8M","1W4GNT","DWFFZL","M",3,"1992-07-14",NA,27.1,TRUE
"IRSC6X","XL7AVE","DGLT2F","F",3,"1983-08-31",NA,36,TRUE
"5LLJMI","KCBMY9","9YJWKX","F",3,"2000-07-07",NA,19.1,TRUE
"SXWVRI","KCBMY9","DMI0QY","F",3,"1998-07-03",NA,21.1,TRUE
"6PQJV5","WCPXHD","SQ908D","F",3,"1989-09-04",NA,30,TRUE
"BB0JP9","YPHFHF","BH6ZQK","M",3,"2000-09-03",NA,19,TRUE
"9JC6RF","A3UZAN","X20HK8","M",3,"1992-06-30",NA,27.2,TRUE
"45YQV5","WDBGPF","CKFA4F","F",3,"1991-08-06",NA,28.1,TRUE
"0P4BCQ","7U5NJD","R0VAQP","M",3,"2001-10-26",NA,17.8,TRUE
"6WG3MZ","D0Z114","4CHDK1","F",3,"1992-08-12",NA,27,TRUE
"665C2Y","DKMJ2Z","R4V1JU","F",3,"1987-02-04",NA,32.6,TRUE
"M5DJVP","KCBMY9","9YJWKX","M",3,"1996-05-03",NA,23.3,TRUE
"30YDZU","WCPXHD","MK90CB","F",3,"1984-04-23",NA,35.3,TRUE
"6XRGWW","L5KNS5","0PADJQ","M",4,"2012-07-24",NA,7.1,TRUE
"9M5YFR","9JC6RF","B6IDBA","M",4,"2000-09-15",NA,18.9,TRUE
"EFZPSL","PUEUBL","9CZSZM","M",4,"2002-04-01",NA,17.4,TRUE
"8GSXTQ","7U5NJD","6WG3MZ","M",4,"2003-05-15",NA,16.3,TRUE
"8NQX52","M5DJVP","45YQV5","F",4,"2004-07-07",NA,15.1,TRUE
"A7YLIQ","V1X2X3","SH0L6S","M",4,"2003-04-27",NA,16.3,TRUE
"9PDPW7","4U7JTW","SXWVRI","F",4,"2006-04-15",NA,13.4,TRUE
"J4ZDIU","M5DJVP","Q00PB1","M",4,"2007-07-02",NA,12.2,TRUE
"HJLX2B","S0ZHJP","79RXRZ","M",4,"1987-05-01",NA,32.3,TRUE
"SPHGC9","9JC6RF","DU300Q","M",4,"1996-05-17",NA,23.3,TRUE
"S7MA0G","K9TMQP","3SG899","F",4,"2002-03-27",NA,17.4,TRUE
"ZMMIM4","RYP77M","IRSC6X","F",4,"1987-05-10",NA,32.3,TRUE
"62PLX3","KCBMY9","665C2Y","M",4,"1996-04-17",NA,23.4,TRUE
"P844CW","7U5NJD","6WG3MZ","F",4,"2002-05-01",NA,17.3,TRUE
"QQ24T8","9C6NW8","45YQV5","M",4,"1995-06-02",NA,24.2,TRUE
"7WQYLL","GA204Z","EQNDAY","M",4,"2003-06-07",NA,16.2,TRUE
"T5S3BR","CMJQGU","30YDZU","F",4,"1992-04-14",NA,27.4,TRUE
"4J6BKH","PUEUBL","Q00PB1","F",4,"2002-05-09",NA,17.3,TRUE
"PHCADH","RF8KMZ","JE4WD7","F",4,"1994-05-29",NA,25.2,TRUE
"A792ZU","P49ZD1","8THU85","F",4,"1986-07-03",NA,33.1,TRUE
"E06FRB","H16EC4","BT0V1U","F",4,"1993-06-16",NA,26.2,TRUE
"HV7LZ3","H16EC4","BT0V1U","F",4,"1992-05-19",NA,27.3,TRUE
"IMF6BL","1Y8P15","PWY8IQ","F",4,"1991-06-26",NA,28.2,TRUE
"YI7MWL","KUENM8","HPGUPS","F",4,"1991-07-12",NA,28.1,TRUE
"1TGPDW","SLN0TF","73Z6NI","F",4,"1996-10-30",NA,22.8,TRUE
"667KL7","6MGJYG","CSZ177","F",4,"1991-06-28",NA,28.2,TRUE
"2HE8W4","1Y8P15","665C2Y","F",4,"1992-05-22",NA,27.3,TRUE
"5LG839","GA204Z","WIBIVP","M",4,"2001-10-19",NA,17.9,TRUE
"3C6G7Y","KCBMY9","665C2Y","F",4,"1993-10-19",NA,25.9,TRUE
"I6M26L","WWZRCW","MND3AC","F",4,"1991-09-26",NA,27.9,TRUE
"ED5PDV","81MJXH","H16XSK","M",4,"2002-03-28",NA,17.4,TRUE
"F3QIL7","P49ZD1","GTKL5Z","F",4,"1990-02-23",NA,29.5,TRUE
"BR9WT6","H16EC4","6PX6PS","M",4,"2002-03-05",NA,17.5,TRUE
"9LZVTE","S0ZHJP","8PHUQL","M",4,"1989-03-12",NA,30.5,TRUE
"W37STC","L07M06","3C6G7Y","F",5,"2002-04-25",NA,17.3,TRUE
"SBKELE","QQ24T8","JE4WD7","F",5,"2002-06-21",NA,17.2,TRUE
"95XZY9","SPHGC9","6PQJV5","F",5,"2002-07-13",NA,17.1,TRUE
"FIL6AB","ELGVC6","I6M26L","M",5,"2002-10-11",NA,16.9,TRUE
"23T5N2","M5DJVP","667KL7","F",5,"2003-08-22",NA,16,TRUE
"HH66K6","ELGVC6","HV7LZ3","M",5,"2005-05-17",NA,14.3,TRUE
"MZQCZB","SPHGC9","F2H56G","F",5,"2008-06-11",NA,11.2,TRUE
"ZHVYYN","9M5YFR","KS2ZNP","F",5,"2013-08-25",NA,6,TRUE
"TXIF7D","8GSXTQ","ASAF1T","F",5,"2013-11-01",NA,5.8,TRUE
"4DMIW1","LUPGF8","2HE8W4","M",5,"2003-01-14",NA,16.6,TRUE
"3RYHBP","62PLX3","2FPL16","F",5,"2003-06-19",NA,16.2,TRUE
"GZFGFQ","LUPGF8","HV7LZ3","F",5,"2003-09-30",NA,15.9,TRUE
"J85R4L","5LG839","UZJGCD","F",5,"2006-05-29",NA,13.2,TRUE
"7VEH10","9M5YFR","L81S8M","M",5,"2007-06-27",NA,12.2,TRUE
"FWL00Q","BR9WT6","4J6BKH","F",5,"2008-03-16",NA,11.4,TRUE
"LT00CV","ED5PDV","P844CW","M",5,"2008-03-20",NA,11.4,TRUE
"NKNRU0","HJLX2B","772Q3D","F",5,"1993-05-26",NA,26.3,TRUE
"KUY2ED","9M5YFR","L81S8M","F",5,"2006-05-24",NA,13.3,TRUE
"97D38B","9LZVTE","J33BE0","F",5,"1996-04-25",NA,23.3,TRUE
"GBLFXN","DKMJ2Z","ZMMIM4","F",5,"1992-03-10",NA,27.5,TRUE
"F5M8IL","KY4G8M","F3QIL7","M",5,"1997-05-23",NA,22.3,TRUE
"YY7782","62PLX3","HA7MFD","F",5,"2002-04-24",NA,17.3,TRUE
"T6UQVX","YPHFHF","T5S3BR","M",5,"1999-05-18",NA,20.3,TRUE
"2EHR2W","B2U6J7","HV7LZ3","M",5,"1997-06-14",NA,22.2,TRUE
"VTZFWZ","9C6NW8","YI7MWL","M",5,"1996-05-29",NA,23.2,TRUE
"MQ0ZWN","LUPGF8","E06FRB","F",5,"2001-08-05",NA,18.1,TRUE
"P9RX04","L07M06","PHCADH","F",5,"1999-06-19",NA,20.2,TRUE
"4R7L88","B2U6J7","IMF6BL","F",5,"1997-08-03",NA,22.1,TRUE
"KXZE07","270UK6","A792ZU","F",5,"1998-08-30",NA,21,TRUE
"LVK7AI","9JC6RF","NKNRU0","M",6,"2000-08-15",NA,19,TRUE
"JR9YMU","VTZFWZ","1TGPDW","F",6,"2002-06-13",NA,17.2,TRUE
"T8EB3B","T6UQVX","P9RX04","F",6,"2003-04-29",NA,16.3,TRUE
"0HV868","SPHGC9","KXZE07","F",6,"2008-05-23",NA,11.3,TRUE
